brandName,subcampaignName,npi,date,eventType,platformName,dimension,deviceType,spends,creativeName,browser,os,campaignName,subcampaignStartDate,specialization,grouping,classification,state
Nplate,Rule 3,1457540551,01-05-2023 13:00,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Chrome,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),,Allopathic & Osteopathic Physicians,Pediatrics,California
Nplate,Rule 3,1831123116,01-05-2023 13:01,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Chrome,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),,Other Service Providers,Specialist,New York
Nplate,Rule 3,1457540551,01-05-2023 13:01,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Chrome,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),,Allopathic & Osteopathic Physicians,Pediatrics,California
Nplate,Rule 3,1982675658,01-05-2023 13:01,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Edge,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,Kentucky
Nplate,Rule 3,1982675658,01-05-2023 13:01,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Edge,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,Kentucky
Nplate,Rule 3,1457540551,01-05-2023 13:01,CPM,OARX,728 x 90,Desktop,1.2,USA-531-81043-Repurpose-of-Oral-Competitive-Rule 3,Chrome,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),,Allopathic & Osteopathic Physicians,Pediatrics,California
Nplate,Rule 1,1790936409,01-05-2023 13:06,CPM,OARX,728 x 90,Desktop,0.5,USA-531-81042-Treatment-free-Remission-Rule-1,Chrome,Mac OS,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,Florida
Nplate,Rule 1,1023336518,01-05-2023 13:06,CPM,OARX,728 x 90,Desktop,0.5,USA-531-81042-Treatment-free-Remission-Rule-1,Chrome,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,New York
Nplate,Rule 1,1881767903,01-05-2023 13:06,CPM,OARX,728 x 90,Desktop,0.5,USA-531-81042-Treatment-free-Remission-Rule-1,Edge,Windows,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,New York
Nplate,Rule 1,1790936409,01-05-2023 13:06,CPM,OARX,728 x 90,Desktop,0.5,USA-531-81042-Treatment-free-Remission-Rule-1,Chrome,Mac OS,Nplate Aug-Jan 2023,Tue Aug 09 2022 04:00:00 GMT+0000 (Coordinated Universal Time),Hematology & Oncology,Allopathic & Osteopathic Physicians,Internal Medicine,Florida
